title,resume,date
Lalla Khadija préside la cérémonie d’inauguration du vivarium du Jardin zoologique national de Rabat,"La Princesse Lalla Khadija a présidé, vendredi, la cérémonie d’inauguration du vivarium du Jardin zoologique national de Rabat.",13 Déc 2019
CNPAC: l’aptitude médicale à la conduite en question,"Les 13 et 14 décembre 2019, l’Université Mohammed VI des sciences de la santé à Casablanca accueille le Congrès international sur la santé et la sécurité routière. Organisé par ",13 Déc 2019
CNPAC: l’aptitude médicale à la conduite en question,,13 Déc 2019
"Fès : Rencontre sur la « Régionalisation, gouvernance et dynamique socio-économique »","« Régionalisation, gouvernance et dynamique socio-économique » est le thème du colloque scientifique qui s’est ouvert, vendredi à Fès, à l’initiative de la Faculté des sciences juridiques, économiques et sociales de l’Université Sidi Mohammed Ben Abdellah.",14 Déc 2019
Tanger : Session de formation sur l’accès à l’audiovisuel au profit de plusieurs associations,"Une quarantaine d’associations de la région Tanger-Tétouan-Al Hoceima ont bénéficié, vendredi à Tanger, d’une session de formation sur l’accès à l’audiovisuel.",14 Déc 2019
Créations d’au-delà des murs: Le musée de BAM s’ouvre sur l’univers carcéral,"En marge de la journée nationale des détenus, le musée de Bank Al Maghrib (BAM) à Rabat a organisé en partenariat avec la Délégation Générale à l’administration pénitentiaire et à la réinsertion (DGAPR) et le Conseil national des droits de l’homme (CNDH), une exposition intitulée « Créations d’au-delà des murs ou Quand l’art libère ». Une manifestation qui durera de ce vendredi 13 décembre au 1er mars 2020.",13 Déc 2019
Les luthistes de Dar Al Ûd en concert à l’Académie du Royaume du Maroc à Rabat,"L’orchestre de luthistes Dar Al Ud a émerveillé, samedi soir, l’assistance lors d’un concert donné au siège de l’Académie du Royaume du Maroc à Rabat, en présence de nombreux invités du monde artistique, diplomatique et politique.",15 Déc 2019
Agadir : « Rafaël » remporte le Grand prix du Festival international Cinéma et Migrations,Le long métrage hollandais « Rafaël » a remporté le Grand prix de la 16ème édition du Festival international Cinéma et migrations (FICMA) qui s’est clôturée samedi soir à Agadir (9-14 décembre).,15 Déc 2019
Le Groupe MBC change de tête,"Il y a eu du changement à la tête du Groupe Saoudien MBC. Après la démission de Sam Barnett en octobre dernier du poste de Président directeur général de MBC, qu’il a occupé pendant 17 ans. Le Président du Conseil d’administration de MBC, Waleed Al-Ibrahim, a en effet nommé un nouveau PDG en la personne de Marc Antoine d’Halluin qui rejoindra le groupe MBC en janvier prochain .",09 Déc 2019
Marrakech a son musée privé de musique,L’infrastructure culturelle de Marrakech s’est enrichie ce dimanche avec l’inauguration d’un musée privé de la musique en présence d’une pléiade d’artistes et d’intellectuels.,09 Déc 2019
"IFM : « Nouvelle génération, la bande-dessinée arabe », pour initier les jeunes au monde de la BD",,10 Déc 2019
46ème session de l’Académie du Royaume du Maroc : La Chine et l’Afrique un partenariat win/win,La 46,10 Déc 2019
Centenaire du transport routier: Barid Al-Maghrib émet un timbre-poste commémoratif,"Le Groupe Barid Al-Maghrib a émis mardi, en partenariat avec la Compagnie de Transport au Maroc (CTM) anciennement connue sous le nom de Compagnie générale de Transport et de Tourisme au Maroc, un timbre-poste commémoratif à l’occasion du centenaire du transport routier.",11 Déc 2019
EN: le ministère reporte sine die ses réunions avec les syndicats,"Alors qu’elle était prévue ce mercredi à Rabat dans le cadre d’un dialogue sectoriel, une réunion entre la Direction centrale des ressources humaines du ministère de l’Éducation nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique et les syndicats les 5 syndicats les plus représentatifs du secteur, a été annulée et reportée sine die. Les cinq syndicats ont en effet été informés de cette décision, sans recevoir davantage d’explications. Les détails.",11 Déc 2019
Prison Moul El Bergui : Démenti concernant des abus vis-à-vis d’un détenu,"L’administration de la prison centrale Moul El Bergui a démenti, mercredi, la teneur de la plainte de la mère du détenu (H.Z), publiée dans un journal national, qui allègue que ledit détenu a subi des abus.",11 Déc 2019
DGSN : Adoption de la procédure de présélection des candidats aux concours d’accès des rangs de la Police,"La Direction générale de la sûreté nationale (DGSN) a annoncé qu’elle a adopté la procédure de présélection des candidats aux concours d’accès aux différents cycles de la police qui auront lieu le 15 décembre courant, laquelle procédure fixe le seuil des notes annuelles et les moyennes requises après étude des dossiers de candidature reçus, et ce conformément aux dispositions de l’article 17 du statut des fonctionnaires de la DGSN, exigeant la procédure de présélection comme condition nécessaire pour passer les concours de la sûreté nationale. ",12 Déc 2019
16è FICMA : La Belgique à l’honneur,"Le coup d’envoi de la 16è édition du  Festival international « Cinéma et migrations » (FICMA) a été donné soir dans la ville d’Agadir, en présence d’une pléiade de personnalités des mondes cinématographique, médiatique et culturel. Il mettra 6 jours durant (09/14 décembre) le cinéma belge à l’hommeur.  ",10 Déc 2019
Académie du Royaume: Les expériences de modernisation et de développement de la Chine sous les projecteurs,"Les expériences de modernisation et de développement de la Chine ont servi de fil conducteur pour un débat d’idées tenu lundi lors de la deuxième séance de la 46ème session de l’Académie du Royaume du Maroc, placée sous le thème « l’Asie comme horizon de pensée ».",10 Déc 2019
Abandon de poste: La riposte des directions provinciales aux enseignants grévistes,"Les directions provinciales du ministère de l’Education nationale ont commencé à activer la procédure d’abandon de poste à l’encontre des enseignants titulaires de diplômes supérieurs, en grève nationale depuis le lundi 2 décembre dernier, a appris Hespress FR. PrévuE initialement jusqu’au vendredi 6, elle a finalement été prolongée du 9 au 14 de ce mois en guise de protestation contre le non règlement du dossier revendicatif de cette catégorie d’enseignants.",12 Déc 2019
Code Pénal : Quel avenir pour les libertés individuelles au Maroc?,"L’affaire Hajar Raissouni, la journaliste marocaine récemment poursuivie et emprisonnée pour relations sexuelles hors-mariage et avortement illégal, puis libérée suite à une grâce royale a rouvert les portes à un vaste débat qui fait rage depuis longtemps, celui de la question des libertés individuelles. Alors que les défenseurs des droits humains se sont mobilisés en masse pour mettre fin à ces lois liberticides, le Parlement examine une réforme du code pénal, sans grand changement pour l’instant. Qu’en sera-t-il dans le futur?",12 Déc 2019
DGSN: Le concours d’accès aura lieu ce dimanche,,11 Déc 2019
"Mohamed Nadif: Acteur, réalisateur et défenseur de la femme","Dans le cadre de la 18e édition du Festival international du film de Marrakech (FIFM), le dernier long-métrage de l’acteur et réalisateur marocain Mohamed Nadif, « ",07 Déc 2019
FIFM2019: Voici les lauréats de la 2e édition des Ateliers de l’Atlas,"Clap de fin pour la deuxième édition des Ateliers de l’Atlas, le programme industrie du Festival International du Film de Marrakech (FIFM), dédié aux cinémas d’Afrique et du Moyen-Orient, initié en 2018 en partenariat avec Netflix.",07 Déc 2019
